Date,BTC-USD,^GSPC,^IXIC
2019-08-01,10399.6689453125,2953.56005859375,8111.1201171875
2019-08-02,10518.1748046875,2932.050048828125,8004.06982421875
2019-08-03,10821.7265625,,
2019-08-04,10970.1845703125,,
2019-08-05,11805.6533203125,2844.739990234375,7726.0400390625
2019-08-06,11478.1689453125,2881.77001953125,7833.27001953125
2019-08-07,11941.96875,2883.97998046875,7862.830078125
2019-08-08,11966.4072265625,2938.090087890625,8039.16015625
2019-08-09,11862.9365234375,2918.64990234375,7959.14013671875
2019-08-10,11354.0244140625,,
2019-08-11,11523.5791015625,,
2019-08-12,11382.6162109375,2882.699951171875,7863.41015625
2019-08-13,10895.830078125,2926.320068359375,8016.35986328125
2019-08-14,10051.7041015625,2840.60009765625,7773.93994140625
2019-08-15,10311.5458984375,2847.60009765625,7766.6201171875
2019-08-16,10374.3388671875,2888.679931640625,7895.990234375
2019-08-17,10231.744140625,,
2019-08-18,10345.810546875,,
2019-08-19,10916.0537109375,2923.64990234375,8002.81005859375
2019-08-20,10763.232421875,2900.510009765625,7948.56005859375
2019-08-21,10138.0498046875,2924.429931640625,8020.2099609375
2019-08-22,10131.0556640625,2922.949951171875,7991.39013671875
2019-08-23,10407.96484375,2847.110107421875,7751.77001953125
2019-08-24,10159.9609375,,
2019-08-25,10138.517578125,,
2019-08-26,10370.8203125,2878.3798828125,7853.740234375
2019-08-27,10185.5,2869.159912109375,7826.9501953125
2019-08-28,9754.4228515625,2887.93994140625,7856.8798828125
2019-08-29,9510.2001953125,2924.580078125,7973.39013671875
2019-08-30,9598.173828125,2926.4599609375,7962.8798828125
2019-08-31,9630.6640625,,
2019-09-01,9757.970703125,,
2019-09-02,10346.7607421875,,
2019-09-03,10623.5400390625,2906.27001953125,7874.16015625
2019-09-04,10594.4931640625,2937.780029296875,7976.8798828125
2019-09-05,10575.533203125,2976.0,8116.830078125
2019-09-06,10353.302734375,2978.7099609375,8103.06982421875
2019-09-07,10517.2548828125,,
2019-09-08,10441.2763671875,,
2019-09-09,10334.974609375,2978.429931640625,8087.43994140625
2019-09-10,10115.9755859375,2979.389892578125,8084.16015625
2019-09-11,10178.3720703125,3000.929931640625,8169.68017578125
2019-09-12,10410.126953125,3009.570068359375,8194.4697265625
2019-09-13,10360.546875,3007.389892578125,8176.7099609375
2019-09-14,10358.048828125,,
2019-09-15,10347.712890625,,
