,1 Month,3 Month,6 Month,1 Year,2 Year,3 Year,5 Year,7 Year,10 Year,20 Year,30 Year
2000-06-01,,5.74,6.27,6.32,6.61,6.56,6.44,6.44,6.2,6.33,5.95
2000-06-02,,5.87,6.25,6.23,6.52,6.48,6.37,6.39,6.15,6.31,5.94
2000-06-05,,5.98,6.32,6.22,6.49,6.44,6.33,6.36,6.12,6.28,5.91
2000-06-06,,5.99,6.33,6.24,6.51,6.46,6.35,6.37,6.14,6.28,5.91
2000-06-07,,5.92,6.3,6.23,6.52,6.47,6.35,6.35,6.13,6.26,5.89
2000-06-08,,5.91,6.27,6.22,6.56,6.5,6.37,6.36,6.13,6.25,5.89
2000-06-09,,5.92,6.28,6.23,6.56,6.5,6.36,6.36,6.13,6.26,5.89
2000-06-12,,5.93,6.27,6.2,6.52,6.47,6.33,6.32,6.09,6.23,5.88
2000-06-13,,5.88,6.24,6.17,6.49,6.44,6.32,6.35,6.11,6.3,5.94
2000-06-14,,5.82,6.22,6.13,6.44,6.38,6.26,6.28,6.06,6.25,5.91
2000-06-15,,5.84,6.23,6.13,6.44,6.39,6.26,6.27,6.05,6.26,5.93
2000-06-16,,5.83,6.2,6.09,6.38,6.32,6.19,6.21,5.99,6.21,5.88
2000-06-19,,5.84,6.2,6.11,6.4,6.34,6.2,6.23,6.0,6.24,5.89
2000-06-20,,5.79,6.19,6.12,6.43,6.37,6.23,6.26,6.03,6.25,5.9
2000-06-21,,5.81,6.19,6.16,6.5,6.45,6.32,6.35,6.11,6.32,5.96
2000-06-22,,5.84,6.16,6.16,6.5,6.45,6.32,6.35,6.12,6.33,5.98
2000-06-23,,5.86,6.2,6.19,6.55,6.49,6.37,6.42,6.19,6.38,6.04
2000-06-26,,5.82,6.23,6.16,6.5,6.43,6.29,6.34,6.11,6.34,5.99
2000-06-27,,5.83,6.23,6.16,6.5,6.43,6.29,6.33,6.1,6.31,5.95
2000-06-28,,5.81,6.22,6.14,6.43,6.38,6.28,6.33,6.11,6.33,5.97
2000-06-29,,5.85,6.22,6.11,6.37,6.32,6.21,6.27,6.04,6.24,5.88
2000-06-30,,5.88,6.23,6.08,6.38,6.31,6.18,6.25,6.03,6.26,5.9
2000-07-03,,6.0,6.24,6.07,6.31,6.24,6.12,6.19,6.0,6.22,5.87
2000-07-04,,,,,,,,,,,
2000-07-05,,5.99,6.19,6.06,6.29,6.23,6.12,6.18,5.99,6.21,5.86
2000-07-06,,6.02,6.21,6.1,6.34,6.28,6.16,6.24,6.05,6.27,5.91
2000-07-07,,6.04,6.19,6.07,6.29,6.23,6.11,6.17,6.01,6.23,5.87
2000-07-10,,6.1,6.23,6.09,6.31,6.24,6.13,6.21,6.04,6.23,5.88
2000-07-11,,6.1,6.24,6.09,6.32,6.26,6.16,6.22,6.06,6.23,5.89
2000-07-12,,6.17,6.26,6.1,6.34,6.29,6.2,6.26,6.09,6.23,5.89
2000-07-13,,6.18,6.27,6.07,6.31,6.24,6.15,6.17,6.01,6.15,5.81
2000-07-14,,6.17,6.28,6.12,6.41,6.35,6.25,6.29,6.1,6.24,5.88
2000-07-17,,6.15,6.3,6.14,6.46,6.4,6.31,6.35,6.17,6.3,5.93
2000-07-18,,6.16,6.31,6.13,6.44,6.39,6.3,6.34,6.16,6.29,5.92
2000-07-19,,6.18,6.33,6.15,6.46,6.4,6.31,6.35,6.16,6.29,5.92
2000-07-20,,6.18,6.29,6.04,6.32,6.25,6.15,6.18,6.01,6.15,5.81
2000-07-21,,6.13,6.27,6.07,6.32,6.25,6.14,6.17,6.01,6.12,5.79
2000-07-24,,6.21,6.29,6.07,6.35,6.28,6.18,6.21,6.04,6.15,5.81
2000-07-25,,6.2,6.28,6.06,6.35,6.28,6.17,6.2,6.04,6.14,5.81
2000-07-26,,6.18,6.28,6.05,6.29,6.24,6.16,6.19,6.04,6.14,5.82
2000-07-27,,6.22,6.29,6.05,6.27,6.21,6.14,6.17,6.02,6.1,5.78
2000-07-28,,6.2,6.3,6.05,6.3,6.24,6.16,6.19,6.04,6.12,5.78
2000-07-31,,6.27,6.42,6.07,6.3,6.24,6.16,6.19,6.04,6.13,5.79
2000-08-01,,6.25,6.39,6.09,6.27,6.2,6.12,6.14,6.0,6.09,5.74
2000-08-02,,6.25,6.35,6.12,6.23,6.18,6.09,6.1,5.98,6.09,5.77
2000-08-03,,6.23,6.34,6.1,6.22,6.16,6.07,6.08,5.95,6.05,5.74
2000-08-04,,6.23,6.31,6.08,6.15,6.1,6.02,6.03,5.91,6.03,5.72
2000-08-07,,6.28,6.34,6.13,6.2,6.16,6.07,6.09,5.97,6.06,5.76
2000-08-08,,6.26,6.32,6.13,6.16,6.13,6.03,6.04,5.93,6.03,5.73
2000-08-09,,6.25,6.32,6.17,6.18,6.14,6.03,6.03,5.81,6.02,5.73
2000-08-10,,6.25,6.31,6.17,6.16,6.11,6.0,6.0,5.76,6.0,5.68
2000-08-11,,6.29,6.35,6.24,6.25,6.19,6.07,6.06,5.79,6.04,5.72
2000-08-14,,6.27,6.36,6.21,6.25,6.2,6.07,6.05,5.78,6.0,5.7
2000-08-15,,6.28,6.37,6.22,6.28,6.24,6.11,6.08,5.81,6.02,5.72
2000-08-16,,6.27,6.35,6.21,6.3,6.26,6.13,6.1,5.83,6.05,5.73
2000-08-17,,6.27,6.35,6.21,6.3,6.26,6.13,6.09,5.81,6.02,5.72
2000-08-18,,6.27,6.32,6.19,6.27,6.22,6.09,6.05,5.78,6.0,5.69
2000-08-21,,6.3,6.38,6.2,6.28,6.23,6.1,6.06,5.79,6.02,5.71
2000-08-22,,6.28,6.36,6.2,6.27,6.21,6.07,6.05,5.78,6.01,5.71
2000-08-23,,6.29,6.37,6.18,6.2,6.16,6.02,5.99,5.73,5.97,5.68
2000-08-24,,6.29,6.36,6.2,6.19,6.12,6.0,5.98,5.73,5.96,5.67
2000-08-25,,6.31,6.36,6.2,6.19,6.12,6.0,5.98,5.73,5.96,5.67
2000-08-28,,6.32,6.39,6.24,6.23,6.15,6.05,6.04,5.78,6.01,5.72
2000-08-29,,6.31,6.39,6.25,6.26,6.21,6.08,6.07,5.81,6.04,5.75
2000-08-30,,6.32,6.39,6.25,6.24,6.17,6.07,6.07,5.81,6.03,5.74
2000-08-31,,6.31,6.38,6.22,6.18,6.09,5.98,5.98,5.73,5.96,5.67
2000-09-01,,6.27,6.32,6.18,6.09,6.01,5.92,5.91,5.68,5.95,5.67
2000-09-04,,,,,,,,,,,
2000-09-05,,6.27,6.32,6.18,6.09,6.01,5.92,5.91,5.69,5.94,5.67
2000-09-06,,6.21,6.3,6.19,6.11,6.03,5.95,5.96,5.72,5.99,5.71
2000-09-07,,6.2,6.28,6.22,6.14,6.06,5.97,5.99,5.76,6.02,5.72
2000-09-08,,6.14,6.26,6.19,6.11,6.03,5.95,5.97,5.73,5.99,5.7
2000-09-11,,6.11,6.23,6.2,6.12,6.05,5.97,6.0,5.77,6.02,5.73
2000-09-12,,6.09,6.21,6.17,6.12,6.06,5.97,6.0,5.78,6.04,5.76
2000-09-13,,6.09,6.19,6.12,6.09,6.02,5.94,5.95,5.74,6.01,5.73
2000-09-14,,6.14,6.2,6.13,6.11,6.03,5.96,5.99,5.79,6.09,5.81
2000-09-15,,6.14,6.2,6.1,6.07,6.01,5.93,6.02,5.84,6.16,5.9
2000-09-18,,6.15,6.21,6.07,6.04,5.99,5.93,6.03,5.88,6.2,5.96
2000-09-19,,6.17,6.22,6.09,6.05,5.99,5.93,6.01,5.86,6.18,5.92
2000-09-20,,6.16,6.23,6.1,6.11,6.06,5.98,6.06,5.91,6.23,5.97
2000-09-21,,6.16,6.23,6.09,6.11,6.07,5.96,6.03,5.88,6.18,5.93
2000-09-22,,6.16,6.24,6.08,6.09,6.04,5.93,5.99,5.85,6.18,5.92
2000-09-25,,6.18,6.25,6.09,6.11,6.05,5.94,5.99,5.84,6.16,5.9
2000-09-26,,6.18,6.24,6.08,6.07,6.01,5.9,5.95,5.81,6.12,5.86
2000-09-27,,6.2,6.28,6.07,6.0,5.94,5.89,5.96,5.83,6.15,5.9
2000-09-28,,6.25,6.3,6.09,6.02,5.96,5.9,5.96,5.82,6.14,5.89
2000-09-29,,6.23,6.28,6.07,5.98,5.91,5.85,5.93,5.8,6.13,5.88
2000-10-02,,6.27,6.33,6.06,5.98,5.92,5.86,5.95,5.83,6.18,5.93
2000-10-03,,6.24,6.32,6.07,6.0,5.95,5.88,5.99,5.87,6.2,5.94
2000-10-04,,6.24,6.32,6.06,6.03,5.99,5.94,6.01,5.9,6.21,5.95
